#experimental data from seeligs "Biochimica et Biophysica Acta 939 (1988) 267-276 "
#1 bulk concentration of etidocaine [mM]
#2 bound etidocaine/popc [mol/mol] 
#3 quadrupole splitting
0   0     6.1  0#data obtained from Biochemistry,1984 23, 17, 3913-3920, 313K
3.3 0.026 5.26 4.925
6.6 0.044 4.47 9.35
7.5 0.055 4.05 10.938
14.9 0.075 3.08 19.588
16.3 0.085 2.96 21.61
18.8 0.098 2.50 24.925
22.3 0.108 2.41 29.55
30.3 0.124 1.71 38.05
32.9 0.138 1.41 41.525
37.1 0.135 1.37 45.538
39.2 0.142 1.20 48.075
53.3 0.170 0.20 63.925
87.0 0.167 0 97.4375
91.4 0.177 0 102.4625
131.5 0.240 -1.98 146.5
177.8 0.288 -2.16 195.8
