# List of simulations for: etidocaine 
# Path: /media/nenciric/Ricky2020/simulations/ 
# Create on: 2021-12-13 
 
#     1 - System 
#     2 - Saving frequency [ps]  
#     3 - Total length [ns] 
#     4 - Binding equilibrated after [ns]  
#     5 - Temperature [K] 
#     6 - Composition 
 
etidocaine_POPC_CHARMM_298K_Cl_countra_280mM_19900waters_paramchem_1302            100 2000.1    0 298.0  POPC:    200,   ETI:    100,  TIP3:  19800,   CLA:    100, 
etidocaine_POPC_CHARMM_298K_Cl_countra_280mM_19900waters_paramchem_ECC             100 1609.3  500 298.0  POPC:    200,   ETI:    100,  TIP3:  19800, Cl_2s:    100, 
etidocaine_POPC_CHARMM_298K_Cl_countra_280mM_19900waters_paramchem_ECC_overbind    100  881.4   50 298.0  POPC:    200,   ETI:    100,  TIP3:  19800, Cl_2s:    100, 
etidocaine_POPC_CHARMM_298K_Cl_countra_280mM_19900waters_paramchem_overbind        100 2123.3  500 298.0  POPC:    200,   ETI:    100,  TIP3:  19800,   CLA:    100, 
etidocaine_POPC_CHARMM_298K_Cl_countra_280mM_5200waters                            100 1693.5  200 298.0  POPC:    200, etidocaine:     26,  TIP3:   5174,   CLA:     26, 
etidocaine_POPC_CHARMM_298K_Cl_countra_280mM_5200waters_paramchem                  100  664.8  200 298.0  POPC:    200,   ETI:     26,  TIP3:   5174,   CLA:     26, 
etidocaine_POPC_CHARMM_298K_Cl_countra_30mM_8800waters                             100  299.3  200 298.0  POPC:    200, etidocaine:      2,  TIP3:   8873,   CLA:      2, 
etidocaine_POPC_CHARMM_298K_Cl_countra_420mM_19900waters                           100 1212.3  500 298.0  POPC:    200, etidocaine:    150,  TIP3:  19872,   CLA:    150, 
etidocaine_POPC_CHARMM_298K_Cl_countra_420mM_19900waters_1212                      100 2000.1    0 298.0  POPC:    200, etidocaine:    150,  TIP3:  19872,   CLA:    150, 
etidocaine_POPC_CHARMM_298K_Cl_countra_420mM_19900waters_overbind                  100 2057.9 1000 298.0  POPC:    200, etidocaine:    150,  TIP3:  19872,   CLA:    150, 
etidocaine_POPC_CHARMM_298K_Cl_countra_140mM_177600waters                          100  414.0  414 298.0  POPC:    200, etidocaine:    444,  TIP3: 177600,   CLA:    444, 
etidocaine_POPC_CHARMM_298K_Cl_countra_280mM_19900waters_paramchem                 100 1302.3 1323 298.0  POPC:    200,   ETI:    100,  TIP3:  19800,   CLA:    100, 
etidocaine_POPC_CHARMM_298K_Cl_countra_420mM_19900waters_paramchem                 100 1256.9  800 298.0  POPC:    200,   ETI:    150,  TIP3:  19872,   CLA:    150, 
etidocaine_POPC_CHARMM_298K_Cl_countra_140mM_177600waters_413                      500  364.0    0 298.0  POPC:    200, etidocaine:    444,  TIP3: 177600,   CLA:    444, 
etidocaine_POPC_CHARMM_298K_Cl_countra_140mM_19900waters_paramchem_ECC             100 1132.4  200 298.0  POPC:    200,   ETI:     50,  TIP3:  20000, Cl_2s:     50, 
